feature_0,feature_1,feature_2,target
23,23,26,0
29,28,17,1
41,15,12,0
47,40,8,2
26,36,39,1
11,21,1,3
12,29,41,1
7,19,47,0
44,37,46,0
10,41,8,2
33,5,43,0
21,0,29,2
35,41,44,0
38,36,15,0
34,16,16,0
33,42,9,0
46,35,13,1
25,45,26,0
12,28,18,1
35,26,35,0
25,35,0,0
35,31,11,0
31,16,15,0
24,16,5,0
4,7,6,2
23,7,43,0
17,14,3,0
13,28,1,3
11,34,7,0
24,49,28,0
33,34,36,0
26,17,21,0
11,2,6,0
6,17,22,0
14,33,4,2
42,44,39,0
30,19,47,0
30,37,48,1
9,29,6,0
17,47,25,0
7,36,49,2
10,39,44,1
8,9,26,0
3,28,43,1
42,16,40,0
26,36,21,2
9,48,32,0
37,40,15,0
5,7,9,0
14,14,6,3
12,21,13,2
17,8,19,0
16,46,43,1
48,4,25,1
43,20,41,0
5,9,16,0
30,32,11,0
2,38,45,1
43,39,3,0
11,32,43,0
29,7,33,0
47,2,0,2
20,49,14,0
42,30,15,0
12,2,32,1
17,11,18,0
34,32,31,0
30,14,36,2
17,47,17,0
40,45,40,0
48,33,37,0
34,12,20,0
3,13,13,4
24,15,20,0
35,40,32,0
24,24,39,0
38,38,22,1
34,1,10,0
21,15,12,0
43,8,26,0
30,19,3,0
35,5,18,0
33,12,40,1
16,38,34,0
8,36,27,1
25,7,4,1
37,32,10,0
24,34,1,0
47,36,38,3
48,47,17,0
16,30,3,0
43,16,24,0
40,0,26,1
32,6,49,0
7,41,21,1
25,31,44,0
48,42,43,0
45,1,10,1
44,2,11,0
18,4,1,3
45,2,11,0
10,21,40,2
32,22,13,1
22,23,42,1
8,7,7,0
31,48,44,1
22,27,32,4
42,5,30,0
3,1,36,3
20,34,1,0
1,35,4,0
40,2,42,1
21,39,19,0
34,25,46,0
43,17,43,0
24,14,48,1
30,4,11,2
46,8,35,0
12,15,14,0
17,44,17,0
23,48,5,0
13,23,44,0
33,34,31,0
46,35,34,0
28,24,41,0
19,10,34,0
41,18,13,2
45,28,0,0
34,26,14,0
40,11,7,0
21,7,28,2
2,47,28,1
37,16,21,0
23,16,43,0
18,23,0,0
14,19,38,0
21,28,10,3
25,32,10,0
13,6,26,1
41,8,34,0
46,0,19,3
25,37,25,0
9,45,36,0
45,19,28,0
28,41,0,0
25,25,23,0
15,4,43,0
16,45,5,0
47,14,40,3
13,21,23,2
44,6,1,0
0,36,37,3
23,48,20,0
0,9,25,2
9,11,9,0
3,40,32,2
2,32,36,0
34,14,15,0
47,49,11,1
4,44,42,0
18,25,24,1
41,26,29,1
46,5,30,3
46,21,42,3
7,36,42,0
26,36,48,2
10,46,17,3
49,21,20,0
6,21,4,0
48,18,32,1
9,14,35,1
37,41,41,0
45,21,45,0
