<DATE>,<CLOSE>
2020/1/2,66.34
2020/1/3,68.71
2020/1/5,69.59
2020/1/6,68.55
2020/1/7,68.51
2020/1/8,65.77
2020/1/9,65.32
2020/1/10,65.1
2020/1/12,64.84
2020/1/13,64.23
2020/1/14,64.46
2020/1/15,64.27
2020/1/16,64.67
2020/1/17,65.35
2020/1/19,65.72
2020/1/20,65.22
2020/1/21,64.49
2020/1/22,62.66
2020/1/23,62.07
2020/1/24,60.65
2020/1/26,58.26
2020/1/27,58.15
2020/1/28,59.3
2020/1/29,58.68
2020/1/30,58.09
2020/1/31,56.66
2020/2/2,55.89
2020/2/3,54.2
2020/2/4,53.83
2020/2/5,55.58
2020/2/6,55.12
2020/2/7,54.5
2020/2/9,53.84
2020/2/10,53.4
2020/2/11,54.25
2020/2/12,56.36
2020/2/13,56.46
2020/2/14,57.24
2020/2/16,57.26
2020/2/17,57.54
2020/2/18,57.68
2020/2/19,59.34
2020/2/20,59.13
2020/2/21,58.36
2020/2/23,56.92
2020/2/24,56.21
2020/2/25,54.27
2020/2/26,52.86
2020/2/27,50.95
2020/2/28,50.09
2020/3/1,49.37
2020/3/2,53.06
2020/3/3,51.6
2020/3/4,51.51
2020/3/5,50.18
2020/3/6,45.5
2020/3/8,35.73
2020/3/9,33.42
2020/3/10,37.78
2020/3/11,35.84
2020/3/12,32.76
2020/3/13,34.97
2020/3/15,32.24
2020/3/16,29.84
2020/3/17,28.85
2020/3/18,26.42
2020/3/19,28.1
2020/3/20,27.21
2020/3/22,25.29
2020/3/23,27.52
2020/3/24,27.71
2020/3/25,30.05
2020/3/26,29.31
2020/3/27,28.25
2020/3/29,23.48
2020/3/30,26.45
2020/3/31,25.92
2020/4/1,25.6
2020/4/2,29.69
2020/4/3,34.65
2020/4/5,31.81
2020/4/6,33.27
2020/4/7,32.4
2020/4/8,33.64
2020/4/9,32.03
2020/4/12,31.41
2020/4/13,31.86
2020/4/14,30.09
2020/4/15,28
2020/4/16,28.5
2020/4/17,28.25
2020/4/19,27.9
2020/4/20,26.13
2020/4/21,19.5
2020/4/22,20.88
2020/4/23,21.63
2020/4/24,21.8
2020/4/26,24.83
2020/4/27,23
2020/4/28,23.16
2020/4/29,24.4
2020/4/30,26.66
2020/5/1,26.6
2020/5/3,25.83
2020/5/4,27.97
2020/5/5,31.98
2020/5/6,29.84
2020/5/7,29.37
2020/5/8,30.86
2020/5/10,30.62
2020/5/11,30.18
2020/5/12,29.47
2020/5/13,29.5
2020/5/14,31.45
2020/5/15,32.74
2020/5/17,33.34
2020/5/18,35.57
2020/5/19,34.55
2020/5/20,35.84
2020/5/21,35.95
2020/5/22,35.12
